Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Smylie, Janet K",Unity Health Toronto,Applied Public Health Chair - LOI,201310LCP,IPPH / PHAC Applied Public Health Chair - Letter of Intent,Clearing the Pathways to Health Equity: CIHR Applied Public Health Chair in Indigenous Health Information and Knowledge Systems,"                      $0","                      $0","0 yr 1 mth "
"Smylie, Janet K",Unity Health Toronto,Operating Grant,201303MOP,Aboriginal Peoples' Health,"Our Health Counts Toronto:  Developing a Population Based Urban Aboriginal Cohort to Assess and Enhance Individual, Family, and Community Health and Wellbeing","                $992,183","                      $0","4 yrs 0 mth "
"Smylie, Janet K; Wolfe, Sara H",Unity Health Toronto,Knowledge Synthesis Grant,201010KRS,Knowledge Synthesis Grant,For Seven Generations: Knowledge Synthesis to Support the Development and Implementation of an Urban Aboriginal Birthing and Maternal Child Health Centre,"                $100,000","                      $0","1 yr 0 mth "
"Smylie, Janet K; Dewar, Jonathan; Star, Leona",Unity Health Toronto,Operating Grant: Network Environments for Indigenous Health Research- Dev Grants,201806NEH,Network Environments for Indigenous Health Research (NEIHR),"Our Health Counts: Applied Indigenous Health Information, Epidemiology and Evaluation Training and Mentorship Network","                 $75,000","                      $0","1 yr 0 mth "
"Smylie, Janet K",Unity Health Toronto,Foundation Grant,201809FDN,Foundation Grant,"Our Counts, Our Future:  Building Applied and Self-Determined First Nations, Inuit and Métis Health and Well-Being Information Systems in Urban Homelands","              $2,046,950","                      $0","7 yrs 0 mth "
"Snider, Carolyn",University of Manitoba,Operating Grant,201303MOP,Randomized Controlled Trials 2,WrapAround Care for Youth Injured by Violence: A Randomized Control Trial,"                $887,829","                      $0","2 yrs 0 mth "
"Snider, Carolyn",University of Manitoba,Embedded Clinician Researcher Salary Award - Central Canada,201603TI3,Other : Embedded Clinician Researcher Salary Award,"Development, Implementation and Evaluation of Interventions for Youth Injured by Violence","                $300,000","                      $0","4 yrs 0 mth "
"Snider, Carolyn",University of Manitoba,Operating Grant,201504MOP,Randomized Controlled Trials,WrapAround Care for youth injured by violence: A Randomized Control Trial,"                $100,000","                      $0","1 yr 0 mth "
"Snider, Carolyn; Bailey, Annette A; Gomez Jaramillo, David; Sharpe, Tanya L",Unity Health Toronto,Project Grant,202203PJT,Tri-Agency Interdisciplinary - CIHR TIR,The THRIVE study: Toronto Hospitals Reducing Injury from ViolencE - A Feasibility Intervention and Evaluation Study,"                $677,026","                      $0","3 yrs 0 mth "
"Snowdon, Anne W; Howard, Andrew W",University of Windsor (Ontario),Team Grant: Strategic Teams in Applied Injury Research - Full application,200912TIR,Strategic Team in Applied Injury Research,"""CIHR Team in Traffic and Road Injury Prevention (TRIP)Program for Canadian Children""","                $600,000","                      $0","5 yrs 0 mth "
"Snow, Stephanie",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201102GSM,Canada Graduate Scholarships Master's Awards B,The Perfectionism Model of Binge Eating: Short-term Longitudinal Assessment in a Population At-risk for Obesity,"                 $17,500","                      $0","1 yr 0 mth "
"Snyder, Jeremy C","Simon Fraser University (Burnaby, B.C.)",Catalyst Grant: Ethics,201103EPP,Catalyst Grant : Ethics (2016-2017),Informing Canadians about Ethical Concerns with Medical Tourism: Towards the Development of an Ethical Buying Guideline,"                 $97,128","                      $0","2 yrs 0 mth "
"Snyder, Jeremy C; Crooks, Valorie A","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - Institute of Genetics,Exploring the Interface between Medical Crowdfunding and Unproven Stem Cell Interventions,"                 $10,000","                      $0","1 yr 0 mth "
"Snyder, Marcie",Unity Health Toronto,Fellowship - Priority Announcement: IAPH Quantitative Research,201202FQU,Health Research Training A - Post-PhD (HTA),"Sharing Women's Knowledge: Understanding Mobility, Relationality, and Identity as Pathways to Improving Urban Aboriginal Maternal and Family Health and Birthing Services","                 $90,000","                      $0","2 yrs 0 mth "
"Sobie, Cheryl V",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Indigenous Peoples' Health,Mobilizing Aboriginal Women's Right to Healthy Food in Winnipeg,"                    $515","                      $0","0 yr 3 mths "
"So, Derek M",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - B,Developing a Novel Bioethics Framework for Genomic Engineering in Human Disease,"                $105,000","                      $0","3 yrs 0 mth "
"Soklaridis, Sophie",Centre for Addiction and Mental Health (Toronto),Dissemination Events,201110KDE,Dissemination Events Grants,Why should we wiki? Training health care providers on updating an evidence-based smoking cessation guideline through a wiki platform,"                 $25,000","                      $0","1 yr 0 mth "
"Soklaridis, Sophie",Centre for Addiction and Mental Health (Toronto),Planning Grants,201310KPE,Planning Grants,Developing an interprofessional care (IPC) assessment tool for healthcare teams: A one-day planning forum,"                 $22,785","                      $0","1 yr 0 mth "
"Soklaridis, Sophie; Harris, Holly L",Centre for Addiction and Mental Health (Toronto),Catalyst Grant: Patient-Oriented Research,201909PAO,Catalyst Grant : Patient-Oriented Research,"Our Recovery, Our Outcomes: Co-Producing an Evaluation of Recovery Colleges","                 $99,990","                      $0","1 yr 0 mth "
"Sokolowski, Helen M",Baycrest Centre for Geriatric Care (Toronto),Fellowship - Priority Announcement: Aging,202110AGE,Health Research Training B - HP,"Understanding the link between occupations in Science, Technology, Engineering and Mathematics (STEM), brain health and neurodegeneration over the trajectory of aging","                 $45,000","                      $0","1 yr 0 mth "
"Soller, Lianne",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Indigenous Peoples' Health,The prevalence of food allergy among Aboriginal people in Canada,"                  $2,500","                      $0","0 yr 3 mths "
"Solmi, Marco; Fiedorowicz, Jess G",Ottawa Hospital Research Institute,Planning and Dissemination Grant - Institute Community Support,202307PCS,Planning and Dissemination Grants,Co-designing a living umbrella review platform informing guidelines and care for bipolar disorder,"                  $9,870","                      $0","1 yr 0 mth "
"Solomon, Patricia E",McMaster University,Operating Grant - HIV/AIDS CBR Program - General,200911CBR,HIV/AIDS Community-Based Research - General Stream (Merged),Assessing the Measurement Properties of an  Instrument to Describe Disability Experienced by Adults Living with HIV,"                $190,287","                      $0","2 yrs 0 mth "
"Somers, Julian","Simon Fraser University (Burnaby, B.C.)",Operating Grant: Population Health Intervention Research,201409GIR,Operating Grant: Population Health Intervention Research,"Expanding ""Housing First"" for homeless adults in Metro Vancouver:  an evaluation of the Homeless Partnering Strategy","                $200,000","                      $0","1 yr 0 mth "
"Sones, Meridith","Simon Fraser University (Burnaby, B.C.)",Travel Awards - Institute Community Support,201802ISU,CPHA Conference,Can bigger and better data make healthier cities?,"                  $1,500","                      $0","1 yr 0 mth "
"Song, Yun-Ju",Public Health Ontario (Toronto),Health System Impact Fellowships - Post-Doctoral in Equitable AI/PPH 2-year,201904HF1,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),"Applications of Artificial Intelligence (AI), Natural Language Processing (NLP), and supervised Machine Learning (ML) for immunization programmes in Ontario","                $108,500","                      $0","2 yrs 0 mth "
"Sornpaisarn, Bundit",Centre for Addiction and Mental Health (Toronto),Planning and Dissemination Grant - Institute Community Support,201909PCS,Global Health,"A plan for establishing a sustainable, practical, and effective multi-sectoral working platform for the prevention and control of NCDs in a middle-income country: Thailand","                 $20,000","                      $0","1 yr 0 mth "
"Souleymanov, Roustam; Migliardi, Paula; Lorway, Robert R",University of Manitoba,Catalyst Grant: HIV/AIDS and STBBI Community-Based Research,201910CDP,HIV/AIDS Community-Based Research (merged),"An Exploratory Qualitative Study of Migration, Sexual Health, and HIV/STBBI in Manitoba","                 $40,000","                      $0","1 yr 0 mth "
"Souleymanov, Roustam; Caron, Leigh A; Daniel, Simret O; Iervolino, Ana; Lorway, Robert R",University of Manitoba,Operating Grant - HIV/AIDS CBR Program - General,202104CBR,HIV/AIDS and STBBI Community-Based Research (General stream) Merged,HIV/STBBI Testing and The Health of African and Caribbean Migrant Communities in Manitoba,"                $417,000","                      $0","3 yrs 0 mth "
"Spadafora, Patricia J",Direct Payment,Catalyst Grant: Pilot Projects in Aging,200903IAP,Social Dimensions in Aging,Movement Matters: Dance as a Health Promotion Strategy,"                 $48,030","                      $0","1 yr 0 mth "
"Speechley, Kathy N",University of Western Ontario,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,Health-related Quality of Life in Children with New-Onset Epilepsy:  A Long-term Follow-up,"                $561,480","                      $0","4 yrs 6 mths "
"Speechley, Kathy N; Bax, Karen A",University of Western Ontario,Project Grant,201803PJT,Social & Developmental Aspects of Children's & Youth's Health,A Community-Based Family Treatment Program for Children with Epilepsy: A Randomized Controlled Trial,"                $459,000","                      $0","3 yrs 0 mth "
"Speechley, Mark; Adams, Paul C",University of Western Ontario,"Operating Grant: Genetics (Ethics, Law and Society)",200803FFO,"Operating Grant: Genetics (Ethics, Law and Society)",Physician billing costs attributable to ambiguous genetic tests,"                 $22,788","                  $1,712","1 yr 0 mth "
